hotel,date_normalize,total
City Hotel,2017-01-01,763
City Hotel,2017-02-01,790
City Hotel,2017-03-01,213
City Hotel,2017-09-01,367
City Hotel,2017-10-01,1068
City Hotel,2017-11-01,1544
City Hotel,2017-12-01,1457
City Hotel,2018-01-01,2132
City Hotel,2018-02-01,1751
City Hotel,2018-03-01,1242
City Hotel,2018-04-01,1631
City Hotel,2018-05-01,2356
City Hotel,2018-06-01,2387
City Hotel,2018-07-01,2302
City Hotel,2018-08-01,2224
City Hotel,2018-09-01,2409
City Hotel,2018-10-01,2847
City Hotel,2018-11-01,2519
City Hotel,2018-12-01,2602
City Hotel,2019-03-01,1685
City Hotel,2019-04-01,1929
City Hotel,2019-05-01,2465
City Hotel,2019-06-01,2648
City Hotel,2019-07-01,3043
City Hotel,2019-08-01,2703
City Hotel,2019-09-01,2739
City Hotel,2019-10-01,2759
Resort Hotel,2017-01-01,848
Resort Hotel,2017-02-01,826
Resort Hotel,2017-03-01,124
Resort Hotel,2017-09-01,1219
Resort Hotel,2017-10-01,1400
Resort Hotel,2017-11-01,1135
Resort Hotel,2017-12-01,1111
Resort Hotel,2018-01-01,1180
Resort Hotel,2018-02-01,988
Resort Hotel,2018-03-01,976
Resort Hotel,2018-04-01,1135
Resort Hotel,2018-05-01,1442
Resort Hotel,2018-06-01,1331
Resort Hotel,2018-07-01,1403
Resort Hotel,2018-08-01,1218
Resort Hotel,2018-09-01,1311
Resort Hotel,2018-10-01,1647
Resort Hotel,2018-11-01,1259
Resort Hotel,2018-12-01,1549
Resort Hotel,2019-03-01,1119
Resort Hotel,2019-04-01,1340
Resort Hotel,2019-05-01,1172
Resort Hotel,2019-06-01,1445
Resort Hotel,2019-07-01,1494
Resort Hotel,2019-08-01,1512
Resort Hotel,2019-09-01,1603
Resort Hotel,2019-10-01,1767
