hotel,date_normalize,is_canceled,lead_time
City Hotel,2017-01-01,No,3.564516129032258
City Hotel,2017-01-01,Yes,3.7941176470588234
City Hotel,2017-02-01,No,4.08
City Hotel,2017-02-01,Yes,5.434782608695652
City Hotel,2017-03-01,No,2.6875
City Hotel,2017-03-01,Yes,4.714285714285714
City Hotel,2017-09-01,No,1.3870967741935485
City Hotel,2017-09-01,Yes,1.0
City Hotel,2017-10-01,No,2.7747440273037545
City Hotel,2017-10-01,Yes,4.178571428571429
City Hotel,2017-11-01,No,3.3807763401109057
City Hotel,2017-11-01,Yes,4.625
City Hotel,2017-12-01,No,3.6490384615384617
City Hotel,2017-12-01,Yes,4.578947368421052
City Hotel,2018-01-01,No,4.124365482233503
City Hotel,2018-01-01,Yes,5.746666666666667
City Hotel,2018-02-01,No,3.5867768595041323
City Hotel,2018-02-01,Yes,5.232142857142857
City Hotel,2018-03-01,No,3.0
City Hotel,2018-03-01,Yes,5.962025316455696
City Hotel,2018-04-01,No,3.7111486486486487
City Hotel,2018-04-01,Yes,4.831775700934579
City Hotel,2018-05-01,No,3.338709677419355
City Hotel,2018-05-01,Yes,5.797872340425532
City Hotel,2018-06-01,No,3.589622641509434
City Hotel,2018-06-01,Yes,5.241379310344827
City Hotel,2018-07-01,No,3.701461377870564
City Hotel,2018-07-01,Yes,5.253521126760563
City Hotel,2018-08-01,No,2.989059080962801
City Hotel,2018-08-01,Yes,5.876923076923077
City Hotel,2018-09-01,No,3.1107491856677525
City Hotel,2018-09-01,Yes,5.181818181818182
City Hotel,2018-10-01,No,3.4827586206896552
City Hotel,2018-10-01,Yes,6.150943396226415
City Hotel,2018-11-01,No,3.5916870415647923
City Hotel,2018-11-01,Yes,4.826666666666667
City Hotel,2018-12-01,No,3.592255125284738
City Hotel,2018-12-01,Yes,4.705882352941177
City Hotel,2019-03-01,No,3.5150300601202407
City Hotel,2019-03-01,Yes,6.4035087719298245
City Hotel,2019-04-01,No,3.9729206963249517
City Hotel,2019-04-01,Yes,6.435897435897436
City Hotel,2019-05-01,No,3.3777292576419216
City Hotel,2019-05-01,Yes,6.0
City Hotel,2019-06-01,No,4.389473684210526
City Hotel,2019-06-01,Yes,6.0
City Hotel,2019-07-01,No,4.235154394299287
City Hotel,2019-07-01,Yes,5.709677419354839
City Hotel,2019-08-01,No,3.6551724137931036
City Hotel,2019-08-01,Yes,4.195121951219512
City Hotel,2019-09-01,No,4.794117647058823
City Hotel,2019-09-01,Yes,6.448979591836735
City Hotel,2019-10-01,No,3.1465798045602607
City Hotel,2019-10-01,Yes,3.176470588235294
Resort Hotel,2017-01-01,No,2.45083932853717
Resort Hotel,2017-01-01,Yes,3.3333333333333335
Resort Hotel,2017-02-01,No,2.6312997347480107
Resort Hotel,2017-02-01,Yes,5.363636363636363
Resort Hotel,2017-03-01,No,2.235294117647059
Resort Hotel,2017-03-01,Yes,9.0
Resort Hotel,2017-09-01,No,3.6744186046511627
Resort Hotel,2017-09-01,Yes,4.266666666666667
Resort Hotel,2017-10-01,No,3.255
Resort Hotel,2017-10-01,Yes,5.166666666666667
Resort Hotel,2017-11-01,No,2.6783216783216783
Resort Hotel,2017-11-01,Yes,3.0
Resort Hotel,2017-12-01,No,3.1612090680100757
Resort Hotel,2017-12-01,Yes,4.181818181818182
Resort Hotel,2018-01-01,No,3.1824817518248176
Resort Hotel,2018-01-01,Yes,3.6666666666666665
Resort Hotel,2018-02-01,No,2.928977272727273
Resort Hotel,2018-02-01,Yes,4.0
Resort Hotel,2018-03-01,No,2.4293193717277486
Resort Hotel,2018-03-01,Yes,4.266666666666667
Resort Hotel,2018-04-01,No,2.8142414860681115
Resort Hotel,2018-04-01,Yes,4.066666666666666
Resort Hotel,2018-05-01,No,2.8246527777777777
Resort Hotel,2018-05-01,Yes,4.117647058823529
Resort Hotel,2018-06-01,No,2.627684964200477
Resort Hotel,2018-06-01,Yes,4.958333333333333
Resort Hotel,2018-07-01,No,3.2435064935064934
Resort Hotel,2018-07-01,Yes,4.483870967741935
Resort Hotel,2018-08-01,No,3.5894736842105264
Resort Hotel,2018-08-01,Yes,4.458333333333333
Resort Hotel,2018-09-01,No,3.150753768844221
Resort Hotel,2018-09-01,Yes,4.833333333333333
Resort Hotel,2018-10-01,No,3.3936651583710407
Resort Hotel,2018-10-01,Yes,4.125
Resort Hotel,2018-11-01,No,4.1479591836734695
Resort Hotel,2018-11-01,Yes,4.083333333333333
Resort Hotel,2018-12-01,No,3.628415300546448
Resort Hotel,2018-12-01,Yes,4.0
Resort Hotel,2019-03-01,No,2.3200663349917083
Resort Hotel,2019-03-01,Yes,4.257142857142857
Resort Hotel,2019-04-01,No,2.9638336347197107
Resort Hotel,2019-04-01,Yes,2.5952380952380953
Resort Hotel,2019-05-01,No,3.339240506329114
Resort Hotel,2019-05-01,Yes,5.066666666666666
Resort Hotel,2019-06-01,No,3.548172757475083
Resort Hotel,2019-06-01,Yes,5.0
Resort Hotel,2019-07-01,No,3.564814814814815
Resort Hotel,2019-07-01,Yes,5.678571428571429
Resort Hotel,2019-08-01,No,2.8080357142857144
Resort Hotel,2019-08-01,Yes,4.16
Resort Hotel,2019-09-01,No,3.0088105726872247
Resort Hotel,2019-09-01,Yes,4.121212121212121
Resort Hotel,2019-10-01,No,3.239819004524887
Resort Hotel,2019-10-01,Yes,3.896551724137931
