hotel,date_normalize,is_canceled,lead_time
City Hotel,2017-01-01,No,78.39247311827957
City Hotel,2017-01-01,Yes,79.38297872340425
City Hotel,2017-02-01,No,81.38
City Hotel,2017-02-01,Yes,84.1923076923077
City Hotel,2017-03-01,No,79.8529411764706
City Hotel,2017-03-01,Yes,76.375
City Hotel,2017-09-01,No,87.61111111111111
City Hotel,2017-09-01,Yes,88.44444444444444
City Hotel,2017-10-01,No,89.27272727272727
City Hotel,2017-10-01,Yes,93.91176470588235
City Hotel,2017-11-01,No,72.20967741935483
City Hotel,2017-11-01,Yes,79.87692307692308
City Hotel,2017-12-01,No,72.48022598870057
City Hotel,2017-12-01,Yes,77.02272727272727
City Hotel,2018-01-01,No,72.06122448979592
City Hotel,2018-01-01,Yes,75.14418604651163
City Hotel,2018-02-01,No,78.43537414965986
City Hotel,2018-02-01,Yes,82.35981308411215
City Hotel,2018-03-01,No,70.59770114942529
City Hotel,2018-03-01,Yes,79.82926829268293
City Hotel,2018-04-01,No,82.12994350282486
City Hotel,2018-04-01,Yes,83.26086956521739
City Hotel,2018-05-01,No,76.86206896551724
City Hotel,2018-05-01,Yes,72.82819383259911
City Hotel,2018-06-01,No,82.21115537848605
City Hotel,2018-06-01,Yes,79.81401617250674
City Hotel,2018-07-01,No,87.43079584775087
City Hotel,2018-07-01,Yes,85.29885057471265
City Hotel,2018-08-01,No,89.56076759061834
City Hotel,2018-08-01,Yes,83.57990867579909
City Hotel,2018-09-01,No,88.23364485981308
City Hotel,2018-09-01,Yes,85.24793388429752
City Hotel,2018-10-01,No,89.84496124031008
City Hotel,2018-10-01,Yes,89.64928909952607
City Hotel,2018-11-01,No,76.01719901719902
City Hotel,2018-11-01,Yes,78.79629629629629
City Hotel,2018-12-01,No,81.92288557213931
City Hotel,2018-12-01,Yes,82.69056603773585
City Hotel,2019-03-01,No,75.30653266331659
City Hotel,2019-03-01,Yes,76.45517241379311
City Hotel,2019-04-01,No,71.42941176470588
City Hotel,2019-04-01,Yes,75.23648648648648
City Hotel,2019-05-01,No,76.50758853288364
City Hotel,2019-05-01,Yes,76.31740614334471
City Hotel,2019-06-01,No,84.20058997050147
City Hotel,2019-06-01,Yes,84.62698412698413
City Hotel,2019-07-01,No,89.13129770992366
City Hotel,2019-07-01,Yes,90.45776566757493
City Hotel,2019-08-01,No,90.1064935064935
City Hotel,2019-08-01,Yes,90.08225108225108
City Hotel,2019-09-01,No,82.31896551724138
City Hotel,2019-09-01,Yes,84.1067415730337
City Hotel,2019-10-01,No,92.3768472906404
City Hotel,2019-10-01,Yes,89.45247148288973
Resort Hotel,2017-01-01,No,75.69117647058823
Resort Hotel,2017-01-01,Yes,84.29166666666667
Resort Hotel,2017-02-01,No,80.87777777777778
Resort Hotel,2017-02-01,Yes,84.0
Resort Hotel,2017-03-01,No,86.88095238095238
Resort Hotel,2017-03-01,Yes,75.84615384615384
Resort Hotel,2017-09-01,No,80.21489971346705
Resort Hotel,2017-09-01,Yes,79.98245614035088
Resort Hotel,2017-10-01,No,78.70361445783132
Resort Hotel,2017-10-01,Yes,80.75287356321839
Resort Hotel,2017-11-01,No,82.16197183098592
Resort Hotel,2017-11-01,Yes,82.79207920792079
Resort Hotel,2017-12-01,No,80.33870967741936
Resort Hotel,2017-12-01,Yes,86.27272727272727
Resort Hotel,2018-01-01,No,73.994708994709
Resort Hotel,2018-01-01,Yes,77.63076923076923
Resort Hotel,2018-02-01,No,79.7103825136612
Resort Hotel,2018-02-01,Yes,80.06944444444444
Resort Hotel,2018-03-01,No,76.83333333333333
Resort Hotel,2018-03-01,Yes,85.29629629629629
Resort Hotel,2018-04-01,No,85.10958904109589
Resort Hotel,2018-04-01,Yes,85.79545454545455
Resort Hotel,2018-05-01,No,73.61333333333333
Resort Hotel,2018-05-01,Yes,73.31944444444444
Resort Hotel,2018-06-01,No,82.90416666666667
Resort Hotel,2018-06-01,Yes,82.1
Resort Hotel,2018-07-01,No,92.52836879432624
Resort Hotel,2018-07-01,Yes,90.41346153846153
Resort Hotel,2018-08-01,No,92.79881656804734
Resort Hotel,2018-08-01,Yes,90.51351351351352
Resort Hotel,2018-09-01,No,88.07633587786259
Resort Hotel,2018-09-01,Yes,94.52631578947368
Resort Hotel,2018-10-01,No,84.56451612903226
Resort Hotel,2018-10-01,Yes,84.079754601227
Resort Hotel,2018-11-01,No,75.24050632911393
Resort Hotel,2018-11-01,Yes,74.51612903225806
Resort Hotel,2018-12-01,No,83.4659090909091
Resort Hotel,2018-12-01,Yes,83.53333333333333
Resort Hotel,2019-03-01,No,82.56862745098039
Resort Hotel,2019-03-01,Yes,83.32075471698113
Resort Hotel,2019-04-01,No,82.1
Resort Hotel,2019-04-01,Yes,78.98611111111111
Resort Hotel,2019-05-01,No,85.38607594936708
Resort Hotel,2019-05-01,Yes,84.22916666666667
Resort Hotel,2019-06-01,No,79.5880149812734
Resort Hotel,2019-06-01,Yes,82.6376811594203
Resort Hotel,2019-07-01,No,92.99148936170212
Resort Hotel,2019-07-01,Yes,87.73076923076923
Resort Hotel,2019-08-01,No,93.32592592592593
Resort Hotel,2019-08-01,Yes,91.68932038834951
Resort Hotel,2019-09-01,No,91.68484848484849
Resort Hotel,2019-09-01,Yes,82.21367521367522
Resort Hotel,2019-10-01,No,82.0
Resort Hotel,2019-10-01,Yes,85.31007751937985
