hotel,date_normalize,is_canceled,lead_time
City Hotel,2017-01-01,No,30.01156069364162
City Hotel,2017-01-01,Yes,24.166666666666668
City Hotel,2017-02-01,No,26.07111111111111
City Hotel,2017-02-01,Yes,26.246376811594203
City Hotel,2017-03-01,No,36.166666666666664
City Hotel,2017-03-01,Yes,25.714285714285715
City Hotel,2017-09-01,No,20.51219512195122
City Hotel,2017-09-01,Yes,26.0
City Hotel,2017-10-01,No,26.07758620689655
City Hotel,2017-10-01,Yes,22.484848484848484
City Hotel,2017-11-01,No,22.310112359550562
City Hotel,2017-11-01,Yes,25.472972972972972
City Hotel,2017-12-01,No,27.137330754352032
City Hotel,2017-12-01,Yes,29.100775193798448
City Hotel,2018-01-01,No,29.887737478411054
City Hotel,2018-01-01,Yes,31.00985221674877
City Hotel,2018-02-01,No,26.644654088050313
City Hotel,2018-02-01,Yes,28.341463414634145
City Hotel,2018-03-01,No,26.94333333333333
City Hotel,2018-03-01,Yes,22.11023622047244
City Hotel,2018-04-01,No,26.220833333333335
City Hotel,2018-04-01,Yes,27.572192513368982
City Hotel,2018-05-01,No,31.654611211573236
City Hotel,2018-05-01,Yes,32.79381443298969
City Hotel,2018-06-01,No,29.887905604719766
City Hotel,2018-06-01,Yes,28.463414634146343
City Hotel,2018-07-01,No,28.17699115044248
City Hotel,2018-07-01,Yes,29.692307692307693
City Hotel,2018-08-01,No,27.629834254143645
City Hotel,2018-08-01,Yes,29.791208791208792
City Hotel,2018-09-01,No,28.28968253968254
City Hotel,2018-09-01,Yes,28.91346153846154
City Hotel,2018-10-01,No,29.53168044077135
City Hotel,2018-10-01,Yes,30.65680473372781
City Hotel,2018-11-01,No,28.836624775583484
City Hotel,2018-11-01,Yes,28.691244239631338
City Hotel,2018-12-01,No,29.20040899795501
City Hotel,2018-12-01,Yes,31.02777777777778
City Hotel,2019-03-01,No,26.817204301075268
City Hotel,2019-03-01,Yes,29.74137931034483
City Hotel,2019-04-01,No,26.625678119349004
City Hotel,2019-04-01,Yes,29.176923076923078
City Hotel,2019-05-01,No,29.982658959537574
City Hotel,2019-05-01,Yes,29.965686274509803
City Hotel,2019-06-01,No,29.87833827893175
City Hotel,2019-06-01,Yes,29.690217391304348
City Hotel,2019-07-01,No,24.315436241610737
City Hotel,2019-07-01,Yes,26.29787234042553
City Hotel,2019-08-01,No,30.00374531835206
City Hotel,2019-08-01,Yes,31.04741379310345
City Hotel,2019-09-01,No,25.43262411347518
City Hotel,2019-09-01,Yes,28.06
City Hotel,2019-10-01,No,28.297397769516728
City Hotel,2019-10-01,Yes,30.337748344370862
Resort Hotel,2017-01-01,No,27.529411764705884
Resort Hotel,2017-01-01,Yes,30.395833333333332
Resort Hotel,2017-02-01,No,26.90625
Resort Hotel,2017-02-01,Yes,27.5
Resort Hotel,2017-03-01,No,32.48
Resort Hotel,2017-03-01,Yes,40.0
Resort Hotel,2017-09-01,No,32.27054794520548
Resort Hotel,2017-09-01,Yes,34.76470588235294
Resort Hotel,2017-10-01,No,31.135658914728683
Resort Hotel,2017-10-01,Yes,30.518072289156628
Resort Hotel,2017-11-01,No,30.910344827586208
Resort Hotel,2017-11-01,Yes,28.128205128205128
Resort Hotel,2017-12-01,No,28.47641509433962
Resort Hotel,2017-12-01,Yes,28.366666666666667
Resort Hotel,2018-01-01,No,29.96829971181556
Resort Hotel,2018-01-01,Yes,34.075949367088604
Resort Hotel,2018-02-01,No,26.860335195530727
Resort Hotel,2018-02-01,Yes,24.785714285714285
Resort Hotel,2018-03-01,No,25.958620689655174
Resort Hotel,2018-03-01,Yes,26.238095238095237
Resort Hotel,2018-04-01,No,25.08097165991903
Resort Hotel,2018-04-01,Yes,31.26984126984127
Resort Hotel,2018-05-01,No,27.505649717514125
Resort Hotel,2018-05-01,Yes,30.25531914893617
Resort Hotel,2018-06-01,No,28.3556338028169
Resort Hotel,2018-06-01,Yes,29.347368421052632
Resort Hotel,2018-07-01,No,29.511363636363637
Resort Hotel,2018-07-01,Yes,32.43636363636364
Resort Hotel,2018-08-01,No,25.275229357798164
Resort Hotel,2018-08-01,Yes,28.653846153846153
Resort Hotel,2018-09-01,No,25.851612903225806
Resort Hotel,2018-09-01,Yes,27.85185185185185
Resort Hotel,2018-10-01,No,25.77625570776256
Resort Hotel,2018-10-01,Yes,27.606060606060606
Resort Hotel,2018-11-01,No,26.384
Resort Hotel,2018-11-01,Yes,29.35211267605634
Resort Hotel,2018-12-01,No,27.36042402826855
Resort Hotel,2018-12-01,Yes,26.83132530120482
Resort Hotel,2019-03-01,No,27.0253807106599
Resort Hotel,2019-03-01,Yes,28.555555555555557
Resort Hotel,2019-04-01,No,24.980263157894736
Resort Hotel,2019-04-01,Yes,28.338582677165356
Resort Hotel,2019-05-01,No,27.871681415929203
Resort Hotel,2019-05-01,Yes,26.609375
Resort Hotel,2019-06-01,No,28.251082251082252
Resort Hotel,2019-06-01,Yes,29.85185185185185
Resort Hotel,2019-07-01,No,26.145569620253166
Resort Hotel,2019-07-01,Yes,28.27777777777778
Resort Hotel,2019-08-01,No,26.810126582278482
Resort Hotel,2019-08-01,Yes,30.741573033707866
Resort Hotel,2019-09-01,No,27.15
Resort Hotel,2019-09-01,Yes,28.583333333333332
Resort Hotel,2019-10-01,No,28.409448818897637
Resort Hotel,2019-10-01,Yes,30.421875
