hotel,date_normalize,is_canceled,lead_time
City Hotel,2017-02-01,Yes,414.0
City Hotel,2017-10-01,Yes,304.9310344827586
City Hotel,2017-11-01,No,327.0
City Hotel,2017-11-01,Yes,332.85714285714283
City Hotel,2017-12-01,No,296.0
City Hotel,2017-12-01,Yes,361.45454545454544
City Hotel,2018-01-01,No,309.45454545454544
City Hotel,2018-01-01,Yes,386.52
City Hotel,2018-02-01,No,318.42857142857144
City Hotel,2018-02-01,Yes,375.05405405405406
City Hotel,2018-03-01,No,319.7142857142857
City Hotel,2018-03-01,Yes,360.8
City Hotel,2018-05-01,Yes,393.4
City Hotel,2018-06-01,Yes,369.0
City Hotel,2018-07-01,No,312.0357142857143
City Hotel,2018-07-01,Yes,327.0
City Hotel,2018-08-01,Yes,345.0
City Hotel,2018-09-01,No,299.22222222222223
City Hotel,2018-09-01,Yes,370.90909090909093
City Hotel,2018-10-01,No,313.1764705882353
City Hotel,2018-10-01,Yes,370.92857142857144
City Hotel,2018-11-01,No,339.59183673469386
City Hotel,2018-11-01,Yes,383.4230769230769
City Hotel,2018-12-01,No,350.23809523809524
City Hotel,2018-12-01,Yes,405.34615384615387
City Hotel,2019-03-01,No,330.6363636363636
City Hotel,2019-03-01,Yes,414.3809523809524
City Hotel,2019-04-01,No,335.75
City Hotel,2019-04-01,Yes,452.1875
City Hotel,2019-05-01,No,313.3333333333333
City Hotel,2019-05-01,Yes,473.0
City Hotel,2019-06-01,No,314.25925925925924
City Hotel,2019-06-01,Yes,327.4
City Hotel,2019-07-01,No,352.2923076923077
City Hotel,2019-07-01,Yes,341.4927536231884
City Hotel,2019-08-01,No,379.3333333333333
City Hotel,2019-08-01,Yes,347.8085106382979
City Hotel,2019-09-01,No,397.9148936170213
City Hotel,2019-09-01,Yes,355.71
City Hotel,2019-10-01,No,378.78688524590166
City Hotel,2019-10-01,Yes,357.31081081081084
Resort Hotel,2017-01-01,No,305.0
Resort Hotel,2017-02-01,Yes,399.0
Resort Hotel,2017-03-01,No,304.0
Resort Hotel,2017-09-01,No,370.0
Resort Hotel,2017-09-01,Yes,319.6
Resort Hotel,2017-10-01,No,365.2857142857143
Resort Hotel,2017-10-01,Yes,336.5
Resort Hotel,2017-11-01,No,328.2857142857143
Resort Hotel,2017-11-01,Yes,325.375
Resort Hotel,2017-12-01,No,441.0
Resort Hotel,2017-12-01,Yes,338.3
Resort Hotel,2018-01-01,No,318.0
Resort Hotel,2018-01-01,Yes,378.0
Resort Hotel,2018-02-01,No,336.3333333333333
Resort Hotel,2018-02-01,Yes,325.3333333333333
Resort Hotel,2018-03-01,No,330.5
Resort Hotel,2018-03-01,Yes,317.4
Resort Hotel,2018-04-01,No,709.0
Resort Hotel,2018-04-01,Yes,312.0
Resort Hotel,2018-07-01,No,392.5
Resort Hotel,2018-07-01,Yes,468.0
Resort Hotel,2018-08-01,No,314.7916666666667
Resort Hotel,2018-08-01,Yes,307.8
Resort Hotel,2018-09-01,No,320.67857142857144
Resort Hotel,2018-09-01,Yes,321.0
Resort Hotel,2018-10-01,No,355.125
Resort Hotel,2018-10-01,Yes,341.90909090909093
Resort Hotel,2018-11-01,No,360.44375
Resort Hotel,2018-11-01,Yes,336.03846153846155
Resort Hotel,2018-12-01,No,366.61744966442956
Resort Hotel,2018-12-01,Yes,363.5
Resort Hotel,2019-03-01,No,309.0
Resort Hotel,2019-03-01,Yes,322.0
Resort Hotel,2019-04-01,No,328.25
Resort Hotel,2019-04-01,Yes,323.0
Resort Hotel,2019-05-01,No,325.52941176470586
Resort Hotel,2019-05-01,Yes,324.15384615384613
Resort Hotel,2019-06-01,No,337.77777777777777
Resort Hotel,2019-06-01,Yes,325.2
Resort Hotel,2019-07-01,No,330.4925373134328
Resort Hotel,2019-07-01,Yes,329.8181818181818
Resort Hotel,2019-08-01,No,323.58
Resort Hotel,2019-08-01,Yes,320.7096774193548
Resort Hotel,2019-09-01,No,321.2857142857143
Resort Hotel,2019-09-01,Yes,331.35
Resort Hotel,2019-10-01,No,326.575
Resort Hotel,2019-10-01,Yes,324.70666666666665
